Nr,Tree name,product_category,Years,Business as usual,Combined effect,Compost,Technical and Market support,,,
1,Cordia africana,Fruit,2048,0.063314687,0.078350566,0.075251431,0.066299962,,,
1,Cordia africana,Fruit,2049,0.105405368,0.108184388,0.10392043,0.107481728,,,
1,Cordia africana,Fruit,2050,0.086656003,0.101252363,0.098710804,0.09856442,,,
1,Cordia africana,Fruit,2051,0.056785076,0.062719513,0.060129103,0.059829706,,,
1,Cordia africana,Fruit,2052,0.056341625,0.06290269,0.059436828,0.062386894,,,
1,Cordia africana,Fruit,2053,0.048948464,0.050449803,0.048567614,0.047389958,,,
1,Cordia africana,Fruit,2054,0.079419193,0.092850877,0.088173217,0.08136239,,,
1,Cordia africana,Fruit,2055,0.070574529,0.081508113,0.078032362,0.072468399,,,
1,Cordia africana,Fruit,2056,0.052685564,0.063756508,0.061115218,0.055736048,,,
1,Cordia africana,Fruit,2057,0.079621526,0.100389269,0.09598201,0.086778259,,,
1,Cordia africana,Fruit,2058,0.067334914,0.07876998,0.075748165,0.0692532,,,
1,Cordia africana,Fruit,2059,0.050534155,0.064784931,0.061664561,0.054910781,,,
1,Cordia africana,Fruit,2060,0.058518213,0.0678199,0.065040099,0.058960341,,,
1,Cordia africana,Fruit,2061,0.086800936,0.10837957,0.103254301,0.091250105,,,
1,Cordia africana,Fruit,2062,0.066945084,0.080295586,0.076773789,0.068885461,,,
1,Cordia africana,Fruit,2063,0.097843385,0.117108114,0.111959333,0.101126434,,,
1,Cordia africana,Fruit,2064,0,0,0,0,,,
1,Cordia africana,FuelWood,2024,0,0,0,0,,,
1,Cordia africana,FuelWood,2025,0,0,0,0,,,
1,Cordia africana,FuelWood,2026,0.173299428,0.20810923,0.200555028,0.178830651,,,
1,Cordia africana,FuelWood,2027,0,0,0,0,,,
1,Cordia africana,FuelWood,2028,0,0,0,0,,,
1,Cordia africana,FuelWood,2029,0,0,0,0,,,
1,Cordia africana,FuelWood,2030,0.206804385,0.24290209,0.233791428,0.214601427,,,
1,Cordia africana,FuelWood,2031,0,0,0,0,,,
1,Cordia africana,FuelWood,2032,0,0,0,0,,,
1,Cordia africana,FuelWood,2033,0,0,0,0,,,
1,Cordia africana,FuelWood,2034,0.219189364,0.254226435,0.24451399,0.228041724,,,
1,Cordia africana,FuelWood,2035,0,0,0,0,,,
1,Cordia africana,FuelWood,2036,0,0,0,0,,,
1,Cordia africana,FuelWood,2037,0,0,0,0,,,
1,Cordia africana,FuelWood,2038,0.206987952,0.242675124,0.232840445,0.215406659,,,
1,Cordia africana,FuelWood,2039,0,0,0,0,,,
1,Cordia africana,FuelWood,2040,0,0,0,0,,,
1,Cordia africana,FuelWood,2041,0,0,0,0,,,
1,Cordia africana,FuelWood,2042,0.216436447,0.256269692,0.245357198,0.225306816,,,
1,Cordia africana,FuelWood,2043,0,0,0,0,,,
1,Cordia africana,FuelWood,2044,0,0,0,0,,,
1,Cordia africana,FuelWood,2045,0,0,0,0,,,
1,Cordia africana,FuelWood,2046,0.213602002,0.254684853,0.243898385,0.223003868,,,
1,Cordia africana,FuelWood,2047,0,0,0,0,,,
1,Cordia africana,FuelWood,2048,0,0,0,0,,,
1,Cordia africana,FuelWood,2049,0.228723615,0.269476674,0.258226408,0.238086922,,,
1,Cordia africana,FuelWood,2050,0,0,0,0,,,
1,Cordia africana,FuelWood,2051,0,0,0,0,,,
1,Cordia africana,FuelWood,2052,0,0,0,0,,,
1,Cordia africana,FuelWood,2053,0.225996536,0.263265323,0.252411634,0.23728366,,,
1,Cordia africana,FuelWood,2054,0,0,0,0,,,
1,Cordia africana,FuelWood,2055,0,0,0,0,,,
1,Cordia africana,FuelWood,2056,0,0,0,0,,,
1,Cordia africana,FuelWood,2057,0.230542095,0.270070176,0.258794897,0.242002179,,,
1,Cordia africana,FuelWood,2058,0,0,0,0,,,
1,Cordia africana,FuelWood,2059,0,0,0,0,,,
1,Cordia africana,FuelWood,2060,0,0,0,0,,,
1,Cordia africana,FuelWood,2061,0.230796641,0.272324367,0.260807335,0.241649193,,,
1,Cordia africana,FuelWood,2062,0,0,0,0,,,
1,Cordia africana,FuelWood,2063,2.331351792,2.764276831,2.646198641,2.437042328,,,
1,Cordia africana,FuelWood,2064,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2024,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2025,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2026,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2027,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2028,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2029,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2030,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2031,0,0,0,0,,,
1,Cordia africana,ConstructionWood,2032,0,0,0,0,,,
