Nr,Years,Business as usual,Combined effect,Compost,Technical and Market support
3,2037,1.192791279,1.192791279,1.192791279,1.192791279
3,2038,1.18759906,1.18759906,1.18759906,1.18759906
3,2039,1.10482114,1.10482114,1.10482114,1.10482114
3,2040,1.134919519,1.134919519,1.134919519,1.134919519
3,2041,1.162097492,1.162097492,1.162097492,1.162097492
3,2042,1.175147553,1.175147553,1.175147553,1.175147553
3,2043,1.192791279,1.192791279,1.192791279,1.192791279
3,2044,1.190207053,1.190207053,1.190207053,1.190207053
3,2045,1.189383119,1.189383119,1.189383119,1.189383119
3,2046,1.093794118,1.093794118,1.093794118,1.093794118
3,2047,1.030435134,1.030435134,1.030435134,1.030435134
3,2048,1.069830913,1.069830913,1.069830913,1.069830913
3,2049,1.682518459,1.682518459,1.682518459,1.682518459
3,2050,1.392858664,1.392858664,1.392858664,1.392858664
3,2051,1.192197704,1.192197704,1.192197704,1.192197704
3,2052,1.173796401,1.173796401,1.173796401,1.173796401
3,2053,1.18328547,1.18328547,1.18328547,1.18328547
3,2054,1.184614504,1.184614504,1.184614504,1.184614504
3,2055,1.108151006,1.108151006,1.108151006,1.108151006
3,2056,1.134919519,1.134919519,1.134919519,1.134919519
3,2057,1.156173826,1.156173826,1.156173826,1.156173826
3,2058,1.180796684,1.180796684,1.180796684,1.180796684
3,2059,1.192791279,1.192791279,1.192791279,1.192791279
3,2060,1.187006022,1.187006022,1.187006022,1.187006022
3,2061,1.190183285,1.190183285,1.190183285,1.190183285
3,2062,1.190207053,1.190207053,1.190207053,1.190207053
3,2063,1.083150388,1.083150388,1.083150388,1.083150388
3,2064,0.579101206,0.579101206,0.579101206,0.579101206
